date,symbol,pred,pred_score,volatility,volatility_short,macd_diff,bba,Close,Volume,EarningsPerShareBasic,strategy
2020-12-24,AMPE,0,0.3527981132838254,0.16046265418556027,0.23092417411637928,0.07368165916051334,2.101788761983165,2.12,39678606.0,-0.05,MACD
2020-12-24,MVIS,0,0.3477236183540565,0.15773195895802003,0.12221594815523285,0.42026991213581955,7.517396091769907,6.55,20710978.0,,MACD
2020-12-24,ENG,0,0.3628818356972776,0.11107453648999238,0.255854067445866,0.04865860763274915,1.3052570628043658,2.95,8086164.0,0.04,MACD
2020-12-24,ENG,0,0.3628818356972776,0.11107453648999238,0.255854067445866,0.04865860763274915,1.3052570628043658,2.95,8086164.0,0.04,Breakout
2020-12-24,ENG,0,0.3628818356972776,0.11107453648999238,0.255854067445866,0.04865860763274915,1.3052570628043658,2.95,8086164.0,0.04,Bollinger
2020-12-24,EGY,0,0.3926506686477439,0.04826499538363873,0.0797262703131292,0.0006579433822950786,0.35603932367642255,1.74,246455.0,0.01,MACD
2020-12-24,CWBR,0,0.3723726041163108,0.04376624177993913,0.041296187202065016,0.0005167128469509841,0.36657877734478816,1.41,157351.0,-0.19,MACD
2020-12-24,BNED,0,0.37025118315102057,0.04216567190035364,0.037465035444617587,0.10949803140618386,1.932952146329002,5.08,485035.0,-0.96,Breakout
2020-12-24,BNED,0,0.37025118315102057,0.04216567190035364,0.037465035444617587,0.10949803140618386,1.932952146329002,5.08,485035.0,-0.96,Bollinger
2020-12-24,KLDO,0,0.3554097634897985,0.04003832213601967,0.041274753469785694,0.028628925436214425,3.1354591370324165,9.33,73197.0,-0.59,MACD
2020-12-24,GEC,0,0.3976565346757049,0.03546068229079184,0.043439416641484305,0.005818904228516671,0.49189837271753856,2.72,18050.0,-0.51,MACD
2020-12-24,RLH,0,0.38354359979629365,0.03396391461006834,0.06396910399415862,9.138468034806946e-05,0.3556177723316063,2.71,271805.0,-0.48,MACD
2020-12-24,GFED,0,0.39812684298623713,0.03394270442728099,0.06855153718926418,0.1878250706421547,3.73967752080282,19.25,2.0,0.92,Breakout
2020-12-24,GFED,0,0.39812684298623713,0.03394270442728099,0.06855153718926418,0.1878250706421547,3.73967752080282,19.25,2.0,0.92,Bollinger
2020-12-24,SANW,0,0.4069220779072381,0.03250849993161542,0.022345138198155562,0.025771491965036503,0.6518251299239815,3.13,490535.0,-0.59,Bollinger
2020-12-24,CONN,0,0.37880722283083496,0.03177233574882303,0.034182135379384464,0.049338817791091505,3.27278230257744,13.03,188469.0,0.71,MACD
2020-12-24,GNSS,0,0.3636218835892107,0.03162468672211341,0.03944568000514214,0.01498087354909091,0.8478561198687338,7.07,101075.0,0.05,MACD
2020-12-24,STKS,0,0.43886688780818156,0.030733010084605914,0.055917064533674274,0.010826087311630456,0.49325044348757263,3.56,71187.0,-0.26,MACD
2020-12-24,PRGX,0,0.37313423972582077,0.02972234124171259,0.04409924425391279,0.01646051537278931,1.1496416830280438,7.7,1476278.0,-0.15,MACD
2020-12-24,MBRX,0,0.3938071221146591,0.027679045599260266,0.05894486352987813,0.0016379289689309696,0.19099948062763628,0.8701,3407379.0,-0.17,MACD
2020-12-24,MG,0,0.3538742088200369,0.02754275676733354,0.019968163524646813,0.043175961206839863,3.584109373337462,7.65,81066.0,,MACD
2020-12-24,LAKE,0,0.416187346938798,0.02652359879996866,0.02820996706756509,0.6091929095501101,8.830135672796828,27.2,205948.0,2.25,MACD
2020-12-24,VOXX,0,0.4036937938675017,0.026071279767025852,0.05317158465295656,0.0490392759954032,1.9711965909057803,14.24,222562.0,-0.34,MACD
