date,symbol,pred,pred_score,volatility,volatility_short,roc,rsi,mfi,sto,bba,dch,Volume,Close,strategy
2020-12-21,AAOI,0,0.5670588098181535,0.020498286894174083,0.012894159979457486,-23.67941712204007,56.53460922421006,70.05315468731777,81.08974358974321,0.9686506077837898,1.04,627037.0,8.38,STO
2020-12-21,ACBI,0,0.5781727643825296,0.014336626711018572,0.009318638983816165,18.03652968036529,50.23295451139942,68.31384643194933,82.16388076099487,2.0350567559650337,2.58,96366.0,15.51,STO
2020-12-21,ACET,0,0.5631878374479407,0.034738181277898,0.03655623791661345,2.884615384615389,55.28594751680328,75.58135510366476,83.57042934898179,3.0814801637682265,4.99,183561.0,13.91,STO
2020-12-21,ADES,0,0.5759723973115108,0.019559745463131648,0.014439277669836713,29.111111111111104,68.51163868463341,80.56303907822857,82.70531400966199,0.8644512710416379,1.17,109824.0,5.81,STO
2020-12-21,ADTN,0,0.5611484330288571,0.02001332985041917,0.016743303640612987,37.46690611519449,60.16923535663947,88.47075390956181,81.15015974440901,3.9954554183449886,3.51,217670.0,14.85,STO
2020-12-21,AERI,0,0.5755530094593934,0.01640693616932206,0.008911418879528536,12.714776632302394,67.27156436519104,73.05819752913428,86.80889770941864,1.1887808880779716,1.4499999999999993,340035.0,13.12,STO
2020-12-21,AEYE,0,0.5209241624423954,0.05683351128793082,0.09005568788611931,54.97470489038787,95.01809535100155,89.52062051877704,94.69182819076094,12.197353155500602,12.7,239713.0,27.57,STO
2020-12-21,AGS,0,0.5606152951390382,0.028146076982018903,0.007336883881469091,91.8429003021148,77.37763345172885,75.77760696372897,88.4674329501914,2.170208284931448,2.2200000000000006,540341.0,6.35,STO
2020-12-21,AKTS,0,0.5471528597780331,0.03517998337873775,0.020892121831286713,43.685567010309285,85.60729170073586,66.22594731438994,85.29411764705885,5.151902464138832,4.42,903272.0,11.15,STO
2020-12-21,ALDX,0,0.5533427800119429,0.030906249816810748,0.057182538146897846,0.37037037037038445,85.9567053893897,89.3046158464263,88.25776951096655,1.406344196844712,1.6500000000000004,866404.0,8.13,STO
2020-12-21,ALRS,0,0.5482048373511366,0.018508801158236953,0.0224558638853532,30.505182841036476,80.22489078837506,90.86422839360338,94.49420940889087,5.309621088705015,5.433068237273876,31714.0,28.29,STO
2020-12-21,AMOT,0,0.5663790533052034,0.024004179046498205,0.021281026084079335,14.242550775770269,50.44751647670231,53.31997917946673,84.26916574361731,14.54742368943711,11.61,38011.0,48.7,STO
2020-12-21,AMPE,0,0.5268787890485106,0.11155534942238607,0.12345675420045621,180.4878048780488,82.32788236454743,100.0,93.60386561805312,1.7683201067676333,1.7,13889810.0,2.3,STO
2020-12-21,AMRB,0,0.5762186015136181,0.013445516707199564,0.006003018507793227,24.497874782371888,83.02482366704436,90.082857351151,83.42911518503625,2.5394928627602624,2.3499999999999996,52255.0,12.8,STO
2020-12-21,AMRK,0,0.5591503406631467,0.01991071628092104,0.023517057187365305,-8.431552948620089,65.95742982744153,73.72273626697626,84.34856175972921,3.2176233465080912,3.9399999999999977,61811.0,31.55,STO
2020-12-21,AMRS,0,0.543066509234186,0.07268583774488274,0.09547930704544146,71.98581560283688,89.74032349624767,100.0,88.04682935355123,2.4947913744247914,2.6550000000000002,5964126.0,4.85,STO
2020-12-21,AMSC,0,0.5469943348836234,0.031158475188747183,0.022733498813710565,31.986340352874223,87.21963037729888,100.0,91.04118070584127,6.3987558164508584,7.270000000000003,301011.0,23.19,STO
2020-12-21,ANH,0,0.5792186804905886,0.021181461672907315,0.01952492569321529,56.2130177514793,67.20572923942359,64.02169484602689,89.78912319644881,0.679561623401538,0.5700000000000003,1509441.0,2.64,STO
2020-12-21,ARLO,0,0.5438272016154793,0.039401717008855176,0.01816538551909948,52.6022304832714,57.01118298334199,54.54052932208247,84.23024454259955,4.936338319037574,3.83,1663573.0,8.21,STO
2020-12-21,ARVN,0,0.5453154376688785,0.11919924641630571,0.0402932633574597,197.40477187107575,78.61791320492773,65.09188818133552,90.41573670461179,78.87354423379247,52.269999999999996,1112197.0,71.05,STO
2020-12-21,ATEC,0,0.5405084713999164,0.03333600889057963,0.022772993167642655,35.70722057368943,79.21215012546452,88.70584465989072,87.20860652896515,4.358841474530795,5.09,1073578.0,13.72,STO
2020-12-21,ATEN,0,0.5577145768933007,0.030329924271459797,0.040832973662188174,36.971350613915405,94.08891821391639,100.0,99.01296062704728,2.361782377781677,2.3500000000000005,1439060.0,10.04,STO
2020-12-21,ATHX,0,0.5417874253220041,0.04947926342050877,0.08268285386976808,19.786096256684495,80.9025971060981,84.44163121126914,82.87975475475501,0.592270208603993,0.8099999999999998,6338886.0,2.24,STO
2020-12-21,ATLC,0,0.5279510407009326,0.06618406766102579,0.05113413967693003,122.37819983484724,84.5499042345679,89.04923646017642,97.76642894272527,14.530896737641342,12.629999999999999,86357.0,26.93,STO
2020-12-21,ATOM,0,0.5258043777158654,0.05190714363897668,0.10130798302233693,42.158859470468435,82.03976147759522,62.2789717118521,83.71734844923417,5.953127245406421,6.27,1161777.0,13.96,STO
2020-12-21,AUMN,0,0.5691316475900562,0.05338172040809208,0.09938107470420714,54.08510638297872,85.46486407048229,85.90250201442335,82.9381494066085,0.22046435630585992,0.2634000000000001,3023467.0,0.7242,STO
2020-12-21,AVID,0,0.5689610116575528,0.020256710432199357,0.012222818757666587,58.73015873015872,59.1081794366179,37.13068911758287,85.66552901023857,3.606844049870091,2.99,273717.0,14.0,STO
